ID_MD	FORM	CAPITOL	RIND
72874	47	1037	1711000
72313	47	1037	1712000
73016	47	1037	1713000
73690	47	1037	1714000
72516	47	1037	1715000
73372	47	1037	1715100
72401	47	1037	1715200
73571	47	1037	1716000
73572	47	1037	1717000
73623	47	1037	1717001
72866	47	1037	1718000
72454	47	1037	1718001
72402	47	1037	1720000
73461	47	1037	1720001
73082	47	1037	1721000
72727	47	1037	1722000
73304	47	1037	1723000
73083	47	1037	1724000
72455	47	1037	1724001
73462	47	1037	1725000
72302	47	1037	1725001
72189	47	1037	1725002
72456	47	1037	1726000
72728	47	1037	1726001
72718	47	1037	1726002
72092	47	1037	1727000
72190	47	1037	1728000
72583	47	1037	1729000
72403	47	1037	1730000
72339	47	1037	1730001
72191	47	1037	1731000
72608	47	1037	1731001
72122	47	1037	1731002
73537	47	1037	1732000
73110	47	1037	1733000
72093	47	1037	1734000
72943	47	1037	1734001
72834	47	1037	1735000
72507	47	1037	1735001
72123	47	1037	1736000
73490	47	1037	1736001
73716	47	1037	1737000
73123	47	1037	1738000
72428	47	1037	1739000
72303	47	1037	1740000
72759	47	1037	1740001
73624	47	1037	1741000
73148	47	1037	1742000
72679	47	1037	1743000
73200	47	1037	1744000
72544	47	1037	1744001
73396	47	1037	1744002
72192	47	1037	2100000
72633	47	1037	2101000
73491	47	1037	2110000
72025	47	1037	2110001
72609	47	1037	2111000
72164	47	1037	2111001
72041	47	1037	2111002
72193	47	1037	2112000
72268	47	1037	2112001
72026	47	1037	2113000
72340	47	1037	2114000
72634	47	1037	2114001
72027	47	1037	2115000
72165	47	1037	2115001
72116	47	1037	2115002
72194	47	1037	2116000
72404	47	1037	2116001
73717	47	1037	2117000
73321	47	1037	2118000
72875	47	1037	2118001
72988	47	1037	2119000
72330	47	1037	2120000
72760	47	1037	2122000
72269	47	1037	2122001
72508	47	1037	2122002
73157	47	1037	2122003
73201	47	1037	2123000
73718	47	1037	2123001
73202	47	1037	2124000
73661	47	1037	2125000
72939	47	1037	2126000
72667	47	1037	2126001
72270	47	1037	2126002
72331	47	1037	2127000
72545	47	1037	2127001
72680	47	1037	2127002
72668	47	1037	2128000
73573	47	1037	2128001
72332	47	1037	2128002
72271	47	1037	2128003
72635	47	1037	2129000
72902	47	1037	2130000
73463	47	1037	2130001
72042	47	1037	2131000
72546	47	1037	2132000
72043	47	1037	2133000
72719	47	1037	2134000
72610	47	1037	2134001
72547	47	1037	2135000
73203	47	1037	2135001
72195	47	1037	2135002
73305	47	1037	2136000
73691	47	1037	2222222
73158	47	1037	2500000
72761	47	1037	2501000
72429	47	1037	2501001
73204	47	1037	2510000
72636	47	1037	2510001
72470	47	1037	2511000
72333	47	1037	2512000
73149	47	1037	2512001
73625	47	1037	2513000
72082	47	1037	2514000
72903	47	1037	2514001
72542	47	1037	2514002
73618	47	1037	2515000
72611	47	1037	2516000
72304	47	1037	2517000
72028	47	1037	2517001
72612	47	1037	2517002
72334	47	1037	2517003
72405	47	1037	2518000
72669	47	1037	2519000
72335	47	1037	2520000
72457	47	1037	2521000
73150	47	1037	2522000
73662	47	1037	2522001
72196	47	1037	2522002
73322	47	1037	2523000
73692	47	1037	2523100
73574	47	1037	2524000
73306	47	1037	2525000
73159	47	1037	2526000
73619	47	1037	2526001
72257	47	1037	2527000
72904	47	1037	2528000
73437	47	1037	2529000
73205	47	1037	2529001
73620	47	1037	2530000
72384	47	1037	2530001
72671	47	1037	2531000
73540	47	1037	2532000
72919	47	1037	2532001
73466	47	1037	2532002
73124	47	1037	2534000
72118	47	1037	2534001
72543	47	1037	2535000
73269	47	1037	2536000
73541	47	1037	2700000
72341	47	1037	2701000
72876	47	1037	2702000
73397	47	1037	2702001
73325	47	1037	2710000
73161	47	1037	2710001
72274	47	1037	2711000
72877	47	1037	2711001
73722	47	1037	2712000
73389	47	1037	2713000
72637	47	1037	2713001
72119	47	1037	2714000
72094	47	1037	2714001
73723	47	1037	2714002
72168	47	1037	2715000
72047	47	1037	2716000
73125	47	1037	2717000
73665	47	1037	2717001
73065	47	1037	2718000
72940	47	1037	2719000
73496	47	1037	2719001
72585	47	1037	2719002
72920	47	1037	2720000
72458	47	1037	2721000
73525	47	1037	2721001
73209	47	1037	2722000
72941	47	1037	2723000
73526	47	1037	2723001
73390	47	1037	2723002
72837	47	1037	2724000
72258	47	1037	2725000
73084	47	1037	2726000
72314	47	1037	2727000
72792	47	1037	2727001
73630	47	1037	2728000
72198	47	1037	2729000
72755	47	1037	2730000
72838	47	1037	2731000
72315	47	1037	2732000
72839	47	1037	2733000
73326	47	1037	2733001
73162	47	1037	2733002
72812	47	1037	2734000
72029	47	1037	2735000
72682	47	1037	2735001
73693	47	1037	2736000
72756	47	1037	2737000
73497	47	1037	2737001
73154	47	1037	2737002
72259	47	1037	2900000
72638	47	1037	2901000
73241	47	1037	2901001
72199	47	1037	2901002
73085	47	1037	2901003
73066	47	1037	2910000
72921	47	1037	2910001
